model,deployment,id,breed,latency_ms,error
base,gpt-4o,97,Boston Bull,1816.1208999999872,
base,gpt-4o,98,Boston Bull,1570.369699999901,
base,gpt-4o,99,Boston Bull,1538.405999999668,
base,gpt-4o,100,Bouvier Des Flandres,1464.8188999999547,
base,gpt-4o,101,Bouvier Des Flandres,1668.8439999998081,
base,gpt-4o,102,Bouvier Des Flandres,1750.8919000001697,
base,gpt-4o,103,Bouvier Des Flandres,1380.8595999998943,
base,gpt-4o,104,Bouvier Des Flandres,1526.238999999805,
base,gpt-4o,105,Boxer,1229.4671999998172,
base,gpt-4o,106,Boxer,1604.1190000005372,
base,gpt-4o,107,Boxer,1331.2997000002724,
base,gpt-4o,108,Boxer,1600.7755999999063,
base,gpt-4o,109,Boxer,1563.128400000096,
base,gpt-4o,110,Brabancon Griffon,1948.7639999997555,
base,gpt-4o,111,Brabancon Griffon,1654.0203000004112,
base,gpt-4o,112,Brabancon Griffon,1749.9169999991864,
base,gpt-4o,113,Brabancon Griffon,1528.1832999999097,
base,gpt-4o,114,Brabancon Griffon,1546.121200000016,
base,gpt-4o,115,Briard,1624.3214000005537,
base,gpt-4o,116,Briard,1596.4342999996006,
base,gpt-4o,117,Briard,1821.0442999998122,
base,gpt-4o,118,Briard,1628.4058999999615,
base,gpt-4o,119,Briard,4693.645600000309,
base,gpt-4o,120,Brittany Spaniel,1614.0816999995877,
base,gpt-4o,121,Brittany Spaniel,1751.4070999995965,
base,gpt-4o,122,Brittany Spaniel,2269.345699999576,
base,gpt-4o,123,Brittany Spaniel,1874.660400000721,
base,gpt-4o,124,Brittany Spaniel,1434.1285000000425,
base,gpt-4o,125,Bull Mastiff,1506.5551000006963,
base,gpt-4o,126,Bull Mastiff,1511.8694000002506,
base,gpt-4o,127,Bull Mastiff,1757.1338999996442,
base,gpt-4o,128,Bull Mastiff,1571.4129999996658,
base,gpt-4o,129,Bull Mastiff,1705.96310000019,
base,gpt-4o,130,Cairn,2116.9918000005055,
base,gpt-4o,131,Cairn,1592.1485000008033,
base,gpt-4o,132,Cairn,2239.997100000437,
base,gpt-4o,133,Cairn,1843.7178000003769,
base,gpt-4o,134,Cairn,1754.5065000003888,
base,gpt-4o,135,Cardigan,1563.682400000289,
base,gpt-4o,136,Cardigan,1873.4645000004093,
base,gpt-4o,137,Cardigan,1580.9108999992532,
base,gpt-4o,138,Cardigan,1495.6634000000122,
base,gpt-4o,139,Cardigan,1729.2351999994935,
base,gpt-4o,140,Chesapeake Bay Retriever,1358.063100000436,
base,gpt-4o,141,Chesapeake Bay Retriever,1514.2529000004288,
base,gpt-4o,142,Chesapeake Bay Retriever,1695.994100000462,
base,gpt-4o,143,Chesapeake Bay Retriever,1334.5948000005592,
base,gpt-4o,144,Chesapeake Bay Retriever,1682.0911999993768,
base,gpt-4o,145,Chihuahua,1342.749299999923,
base,gpt-4o,146,Chihuahua,1516.0106000002997,
base,gpt-4o,147,Chihuahua,1728.8300999998683,
base,gpt-4o,148,Chihuahua,1365.042600000379,
base,gpt-4o,149,Chihuahua,1701.1245000003328,
base,gpt-4o,150,Chow,2030.994799999462,
base,gpt-4o,151,Chow,1842.3754999994344,
base,gpt-4o,152,Chow,1222.7166000002399,
base,gpt-4o,153,Chow,1740.970599999855,
base,gpt-4o,154,Chow,1613.7596999997186,
base,gpt-4o,155,Clumber,1209.972900000139,
base,gpt-4o,156,Clumber,1507.2586000005685,
base,gpt-4o,157,Clumber,1223.3218999999735,
base,gpt-4o,158,Clumber,1680.8483000004344,
base,gpt-4o,159,Clumber,1628.2545000003665,
base,gpt-4o,160,Cocker Spaniel,1500.077799999417,
base,gpt-4o,161,Cocker Spaniel,1502.1204999993643,
base,gpt-4o,162,Cocker Spaniel,1826.0444000006828,
base,gpt-4o,163,Cocker Spaniel,1689.4867999999406,
base,gpt-4o,164,Cocker Spaniel,1418.9356999995653,
base,gpt-4o,165,Collie,1633.3470999998099,
base,gpt-4o,166,Collie,1549.9227999998766,
base,gpt-4o,167,Collie,1757.9617999999755,
base,gpt-4o,168,Collie,1483.317299999726,
base,gpt-4o,169,Collie,2069.8419999998805,
base,gpt-4o,170,Curly-Coated Retriever,1458.83909999975,
base,gpt-4o,171,Curly-Coated Retriever,1501.848400000199,
base,gpt-4o,172,Curly-Coated Retriever,1635.3995999998006,
base,gpt-4o,173,Curly-Coated Retriever,1844.0789999995104,
base,gpt-4o,174,Curly-Coated Retriever,1743.55259999993,
base,gpt-4o,175,Dandie Dinmont,1671.9844999997804,
base,gpt-4o,176,Dandie Dinmont,2095.7816999998613,
base,gpt-4o,177,Dandie Dinmont,1445.9747999999308,
base,gpt-4o,178,Dandie Dinmont,2255.8437999996386,
base,gpt-4o,179,Dandie Dinmont,1800.264900000002,
base,gpt-4o,180,Dhole,1786.9901000003665,
base,gpt-4o,181,Dhole,1528.2796000001326,
base,gpt-4o,182,Dhole,2367.957000000388,
base,gpt-4o,183,Dhole,1753.6473999998634,
base,gpt-4o,184,Dhole,1742.8765000004205,
base,gpt-4o,185,Dingo,1620.8889999998064,
base,gpt-4o,186,Dingo,1666.534099999808,
base,gpt-4o,187,Dingo,1911.3977999995768,
base,gpt-4o,188,Dingo,1738.8187999995353,
base,gpt-4o,189,Dingo,1647.04570000049,
base,gpt-4o,190,Doberman,1927.3744000001898,
base,gpt-4o,191,Doberman,1543.595699999969,
base,gpt-4o,192,Doberman,1621.1813999998412,
base,gpt-4o,193,Doberman,1954.7545000004902,
base,gpt-4o,194,Doberman,1339.1222999998718,
base,gpt-4o,195,English Foxhound,1053.6583000002793,
base,gpt-4o,196,English Foxhound,2325.3960000001825,
base,gpt-4o,197,English Foxhound,1795.8905999994386,
base,gpt-4o,198,English Foxhound,1472.4974000000657,
base,gpt-4o,199,English Foxhound,1916.1520999996355,
base,gpt-4o,200,English Setter,1467.2722000004796,
base,gpt-4o,201,English Setter,1207.806299999902,
base,gpt-4o,202,English Setter,1653.1748999996125,
base,gpt-4o,203,English Setter,1453.8609000001088,
base,gpt-4o,204,English Setter,1764.9213000004238,
base,gpt-4o,205,English Springer,1429.3183999998291,
base,gpt-4o,206,English Springer,1804.0759000004982,
base,gpt-4o,207,English Springer,1516.5606999999,
base,gpt-4o,208,English Springer,1666.5690999998333,
base,gpt-4o,209,English Springer,1629.169499999989,
base,gpt-4o,210,Entlebucher,2141.5332000005947,
base,gpt-4o,211,Entlebucher,1441.7665000000852,
base,gpt-4o,212,Entlebucher,1559.4099999998434,
base,gpt-4o,213,Entlebucher,1700.725799999418,
base,gpt-4o,214,Entlebucher,1546.7535000007047,
base,gpt-4o,215,Eskimo Dog,1834.649499999614,
base,gpt-4o,216,Eskimo Dog,1556.9496000007348,
base,gpt-4o,217,Eskimo Dog,1722.3828999995021,
base,gpt-4o,218,Eskimo Dog,1752.052000000731,
base,gpt-4o,219,Eskimo Dog,3787.6820000001317,
base,gpt-4o,220,Flat-Coated Retriever,1833.2385000003342,
base,gpt-4o,221,Flat-Coated Retriever,2074.297000000115,
base,gpt-4o,222,Flat-Coated Retriever,1823.3225000003586,
base,gpt-4o,223,Flat-Coated Retriever,1429.7500999991826,
base,gpt-4o,224,Flat-Coated Retriever,1634.1464999995878,
base,gpt-4o,225,French Bulldog,1745.3478000006726,
base,gpt-4o,226,French Bulldog,1728.120100000524,
base,gpt-4o,227,French Bulldog,2123.0477999997674,
base,gpt-4o,228,French Bulldog,2251.847099999395,
base,gpt-4o,229,French Bulldog,1991.6163000007145,
base,gpt-4o,230,German Shepherd,2143.6786999993274,
base,gpt-4o,231,German Shepherd,1534.2031000000134,
base,gpt-4o,232,German Shepherd,2552.0262000000002,
base,gpt-4o,233,German Shepherd,1798.237599999993,
base,gpt-4o,234,German Shepherd,1952.8844999995272,
base,gpt-4o,235,German Short-Haired Pointer,1543.0586000002222,
base,gpt-4o,236,German Short-Haired Pointer,1708.6362000000008,
base,gpt-4o,237,German Short-Haired Pointer,2732.688799999778,
base,gpt-4o,238,German Short-Haired Pointer,1769.6774000005462,
base,gpt-4o,239,German Short-Haired Pointer,2565.6729000002088,
base,gpt-4o,240,Giant Schnauzer,1601.7655000005107,
base,gpt-4o,241,Giant Schnauzer,1783.7437999996837,
base,gpt-4o,242,Giant Schnauzer,1904.5076000002155,
base,gpt-4o,243,Giant Schnauzer,1497.2454000007929,
base,gpt-4o,244,Giant Schnauzer,1350.8649999994304,
base,gpt-4o,245,Golden Retriever,1683.6501999996472,
base,gpt-4o,246,Golden Retriever,1325.3618999997343,
base,gpt-4o,247,Golden Retriever,1583.119999999326,
base,gpt-4o,248,Golden Retriever,1792.481399999815,
base,gpt-4o,249,Golden Retriever,1118.4940000002825,
base,gpt-4o,250,Gordon Setter,1736.8871999997282,
base,gpt-4o,251,Gordon Setter,1841.3151999993715,
base,gpt-4o,252,Gordon Setter,1252.4109999994835,
base,gpt-4o,253,Gordon Setter,1760.0437000000966,
base,gpt-4o,254,Gordon Setter,1869.829799999934,
base,gpt-4o,255,Great Dane,1965.1271000002453,
base,gpt-4o,256,Great Dane,1330.146300000706,
base,gpt-4o,257,Great Dane,1672.3092000001998,
base,gpt-4o,258,Great Dane,1607.4646000006396,
base,gpt-4o,259,Great Dane,1573.756499999945,
base,gpt-4o,260,Great Pyrenees,1862.434000000576,
base,gpt-4o,261,Great Pyrenees,1490.5197999996744,
base,gpt-4o,262,Great Pyrenees,1555.4558000003453,
base,gpt-4o,263,Great Pyrenees,1670.3620999996929,
base,gpt-4o,264,Great Pyrenees,1432.3424000003797,
base,gpt-4o,265,Greater Swiss Mountain Dog,2077.5751000001037,
base,gpt-4o,266,Greater Swiss Mountain Dog,1406.511899999714,
base,gpt-4o,267,Greater Swiss Mountain Dog,1134.6372999996674,
base,gpt-4o,268,Greater Swiss Mountain Dog,1287.7473999997164,
base,gpt-4o,269,Greater Swiss Mountain Dog,1473.1407999997828,
base,gpt-4o,270,Groenendael,1457.8685000005862,
base,gpt-4o,271,Groenendael,1725.0327000001562,
base,gpt-4o,272,Groenendael,1782.3951000000307,
base,gpt-4o,273,Groenendael,1346.5673000000606,
base,gpt-4o,274,Groenendael,1928.2118000000992,
base,gpt-4o,275,Ibizan Hound,1912.7207999999882,
base,gpt-4o,276,Ibizan Hound,1308.9802000004056,
base,gpt-4o,277,Ibizan Hound,2267.185500000778,
base,gpt-4o,278,Ibizan Hound,1585.5086000001393,
base,gpt-4o,279,Ibizan Hound,1332.4087999999392,
base,gpt-4o,280,Irish Setter,2466.691399999945,
base,gpt-4o,281,Irish Setter,2136.0622000001968,
base,gpt-4o,282,Irish Setter,1913.6319999997795,
base,gpt-4o,283,Irish Setter,2064.9507999996786,
base,gpt-4o,284,Irish Setter,1287.5622999999905,
base,gpt-4o,285,Irish Terrier,1560.7431000007637,
base,gpt-4o,286,Irish Terrier,1851.5612999999576,
base,gpt-4o,287,Irish Terrier,1499.0014000004521,
base,gpt-4o,288,Irish Terrier,1814.5871999995506,
base,gpt-4o,289,Irish Terrier,1729.1881999999532,
base,gpt-4o,290,Irish Water Spaniel,1364.1229000004387,
base,gpt-4o,291,Irish Water Spaniel,1655.9440000000905,
base,gpt-4o,292,Irish Water Spaniel,1695.1754000001529,
base,gpt-4o,293,Irish Water Spaniel,1339.203799999268,
base,gpt-4o,294,Irish Water Spaniel,1631.6616000003705,
base,gpt-4o,295,Irish Wolfhound,1222.9807000003348,
base,gpt-4o,296,Irish Wolfhound,2595.863100000315,
base,gpt-4o,297,Irish Wolfhound,1713.8193000000683,
base,gpt-4o,298,Irish Wolfhound,1293.087000000014,
base,gpt-4o,299,Irish Wolfhound,1424.1031999999905,
base,gpt-4o,300,Italian Greyhound,1434.604400000353,
base,gpt-4o,301,Italian Greyhound,1271.5581000002203,
base,gpt-4o,302,Italian Greyhound,1342.060599999968,
base,gpt-4o,303,Italian Greyhound,1958.298200000172,
base,gpt-4o,304,Italian Greyhound,1530.0796999999875,
base,gpt-4o,305,Japanese Spaniel,1314.2005999998219,
base,gpt-4o,306,Japanese Spaniel,1436.199800000395,
base,gpt-4o,307,Japanese Spaniel,1842.0005999996647,
base,gpt-4o,308,Japanese Spaniel,1495.3197000004366,
base,gpt-4o,309,Japanese Spaniel,1406.444900000679,
base,gpt-4o,310,Keeshond,1703.8580999997066,
base,gpt-4o,311,Keeshond,1612.5943999995798,
base,gpt-4o,312,Keeshond,1738.1563999997525,
base,gpt-4o,313,Keeshond,1629.1760000003705,
base,gpt-4o,314,Keeshond,1587.5994000007267,
base,gpt-4o,315,Kelpie,1693.8767999999982,
base,gpt-4o,316,Kelpie,1468.8293999997768,
base,gpt-4o,317,Kelpie,1784.161600000516,
base,gpt-4o,318,Kelpie,1787.9359999997178,
base,gpt-4o,319,Kelpie,1560.6489000001602,
base,gpt-4o,320,Kerry Blue Terrier,1553.8497999996252,
base,gpt-4o,321,Kerry Blue Terrier,1582.9406000002564,
base,gpt-4o,322,Kerry Blue Terrier,1545.6911999999647,
base,gpt-4o,323,Kerry Blue Terrier,1432.1692000003168,
base,gpt-4o,324,Kerry Blue Terrier,1602.7962999996817,
base,gpt-4o,325,Komondor,1658.3159000001615,
base,gpt-4o,326,Komondor,1298.217399999885,
base,gpt-4o,327,Komondor,1672.5959000004877,
base,gpt-4o,328,Komondor,1514.3123999996533,
base,gpt-4o,329,Komondor,1696.0496000001513,
base,gpt-4o,330,Kuvasz,1886.5136000003986,
base,gpt-4o,331,Kuvasz,1331.569099999797,
base,gpt-4o,332,Kuvasz,1550.398800000039,
base,gpt-4o,333,Kuvasz,1589.071100000183,
base,gpt-4o,334,Kuvasz,1859.4146999994337,
base,gpt-4o,335,Labrador Retriever,1734.2169000003196,
base,gpt-4o,336,Labrador Retriever,1750.3239999996367,
base,gpt-4o,337,Labrador Retriever,1712.9303000001528,
base,gpt-4o,338,Labrador Retriever,1469.6930999998585,
base,gpt-4o,339,Labrador Retriever,1567.5983000000997,
