model,success_count,mean_ms,median_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,std_dev_ms
base,599,1664.51,1629.17,1629.17,1959.38,2185.41,2741.96,1053.66,4693.65,324.12
fine_tuned,599,1505.71,1504.42,1504.42,1706.97,1819.66,2303.17,824.95,3381.8,241.45
